PLAYER NAME,TEAMS,COUNTRY,AGE,POSITION,ROLE,RATING,SPEED,SHOOTING,PASSING,DRIBBLING,DEFENCE,FREEKICK
Alison Becker,Liverpool,Brazil,32,GK,GK,89,86,85,85,89,56,90
Giorgi Mamardashvili,Liverpool,Georgia,24,GK,GK,85,86,83,72,85,48,85
Ibrahima Konate,Liverpool,France,26,DEF,STP,83,75,34,59,68,83,84
Virgil Van Dijk,Liverpool,Holland,34,DEF,STP,89,78,60,71,71,89,86
Joe Gomez,Liverpool,England,28,DEF,STP,80,82,28,71,72,80,79
Milos Kerkez,Liverpool,Hungary,21,DEF,LB,77,83,55,70,75,70,75
Konstantinos Tsimikas,Liverpool,Greece,29,DEF,LB,77,80,57,74,75,73,78
Andrew Robertson,Liverpool,Scotland,31,DEF,LB,85,78,61,82,79,81,78
Jeremie Frimpong,Liverpool,Holland,24,DEF,RWB,84,93,62,75,86,75,69
Conor Bradley,Liverpool,Northern Ireland,22,DEF,RB,75,82,59,66,73,70,72
Ryan Gravenberch,Liverpool,Holland,23,MID,CM,78,71,76,77,81,68,73
Stefan Bajcetic,Liverpool,Spain,20,MID,CM,72,66,52,66,72,69,66
Wataru Endo,Liverpool,Japan,32,MID,CDM,80,60,68,71,78,79,76
Tyler Morton,Liverpool,England,22,MID,CDM,72,64,59,74,73,66,66
Alexis Mac Allister,Liverpool,Argentina,26,MID,CM,86,69,87,82,88,45,75
Curtis Jones,Liverpool,England,24,MID,CM,79,68,71,75,81,70,75
Florian Wirtz,Liverpool,Germany,22,MID,CMM,88,81,78,87,89,50,67
Dominik Szoboszlai,Liverpool,Hungary,24,MID,CMM,81,82,80,84,80,59,70
Harvey Elliott,Liverpool,England,22,MID,CMM,78,74,71,77,81,53,50
Luis Diaz,Liverpool,Colombia,28,ATT,LW,84,90,80,75,87,39,75
Cody Gakpo,Liverpool,Holland,26,ATT,SNT,83,82,83,78,83,48,75
Mohamed Salah,Liverpool,Egypt,33,ATT,RW,89,89,87,82,88,45,75
Federico Chiesa,Liverpool,Italy,27,ATT,LW,84,93,83,76,86,52,75
Darwin Nunez,Liverpool,Uruguay,26,ATT,SNT,82,90,80,72,78,46,86
Hugo Ekitike,Liverpool,France,23,ATT,SNT,76,84,75,61,77,25,67
David Raya,Arsenal,Spain,29,GK,GK,83,82,81,86,82,57,81
Kepa Arrizabalaga,Arsenal,Spain,30,GK,GK,79,78,77,83,82,40,77
William Saliba,Arsenal,France,24,DEF,STP,87,82,39,70,74,87,83
Gabriel Magalhaes,Arsenal,Brazil,27,DEF,STP,86,69,41,63,61,86,82
Jakub Kiwior,Arsenal,Poland,25,DEF,LB,76,69,37,66,63,77,77
Myles Lewis-Skelly,Arsenal,England,18,DEF,LB,58,63,48,58,61,52,59
Riccardo Calafiori,Arsenal,Italy,23,DEF,LB,78,69,65,70,72,78,77
Oleksandr Zinchenko,Arsenal,Ukraine,28,DEF,LB,79,66,66,83,82,76,69
Jurrien Timber,Arsenal,Holland,24,DEF,RB,79,78,47,67,76,80,78
Ben White,Arsenal,England,27,DEF,RB,84,73,35,77,78,83,80
Martin Zubimendi,Arsenal,Spain,26,MID,CDM,81,64,67,75,77,78,71
Christian Norgaard,Arsenal,Denmark,31,MID,CDM,77,52,60,70,69,76,78
Declan Rice,Arsenal,England,26,MID,CM,87,73,72,82,79,84,85
Mikel Merino,Arsenal,Spain,29,MID,CM,85,72,79,82,82,83,82
Albert Sambi Lokonga,Arsenal,Belgium,25,MID,CM,75,64,58,74,76,68,71
Martin Odegaard,Arsenal,Norway,26,MID,CMM,89,70,82,89,89,67,66
Fabio Vieira,Arsenal,Portugal,25,MID,CMM,77,71,72,78,78,51,53
Gabriel Martinelli,Arsenal,Brazil,24,ATT,LW,83,89,78,75,85,46,72
Leandro Trossard,Arsenal,Belgium,30,ATT,LW,83,82,81,80,85,30,61
